iter	Passed	Remaining
433	1650	2152
434	1652	2146
435	1655	2142
436	1660	2139
437	1664	2135
438	1667	2130
439	1670	2126
440	1674	2122
441	1678	2118
442	1681	2114
443	1684	2108
444	1688	2106
445	1698	2109
446	1701	2104
447	1703	2099
448	1706	2094
449	1709	2089
450	1712	2084
451	1716	2080
452	1719	2076
453	1722	2071
454	1726	2067
455	1731	2065
456	1734	2060
457	1741	2061
458	1745	2057
459	1749	2053
460	1752	2048
461	1755	2043
462	1757	2038
463	1761	2034
464	1766	2031
465	1769	2027
466	1772	2023
467	1775	2018
468	1778	2014
469	1782	2010
470	1787	2008
471	1790	2002
472	1792	1997
473	1794	1991
474	1800	1990
475	1803	1985
476	1805	1979
477	1808	1975
478	1810	1969
479	1813	1964
480	1816	1960
481	1819	1954
482	1821	1950
483	1824	1945
484	1826	1939
485	1830	1935
486	1834	1932
487	1836	1927
488	1839	1921
489	1841	1916
490	1844	1912
491	1847	1907
492	1849	1901
493	1851	1896
494	1854	1891
495	1856	1886
496	1858	1881
497	1863	1878
498	1866	1873
499	1871	1871
500	1874	1866
501	1877	1862
502	1880	1858
503	1883	1853
504	1903	1865
505	1905	1860
506	1908	1855
507	1910	1850
508	1915	1847
509	1918	1843
510	1921	1838
511	1925	1835
512	1931	1833
513	1933	1828
514	1937	1824
515	1951	1830
516	1953	1825
517	1960	1824
518	1963	1819
519	1967	1815
520	1969	1810
521	1971	1805
522	1974	1800
523	1981	1799
524	1983	1794
525	1987	1790
526	1990	1786
527	1992	1781
528	1995	1776
529	1998	1771
530	2000	1766
531	2004	1763
532	2006	1757
533	2008	1752
534	2012	1748
535	2015	1744
536	2018	1740
537	2021	1735
538	2023	1731
539	2030	1729
540	2034	1726
541	2036	1721
542	2039	1716
543	2046	1715
544	2048	1710
545	2051	1705
546	2053	1700
547	2055	1695
548	2057	1690
549	2060	1685
550	2063	1681
551	2065	1676
552	2068	1672
553	2071	1667
554	2073	1662
555	2075	1657
556	2077	1652
557	2080	1647
558	2082	1643
559	2085	1638
560	2088	1634
561	2091	1629
562	2094	1625
563	2097	1621
564	2099	1616
565	2101	1611
566	2105	1607
567	2107	1602
568	2111	1599
569	2113	1594
570	2115	1589
571	2117	1584
572	2119	1579
573	2122	1575
574	2126	1571
575	2128	1567
576	2131	1562
577	2133	1557
578	2135	1553
579	2138	1548
580	2140	1543
581	2143	1539
582	2145	1534
583	2147	1529
584	2149	1524
585	2151	1519
586	2153	1515
587	2156	1510
588	2158	1505
589	2160	1501
590	2162	1496
591	2164	1491
592	2166	1487
593	2169	1482
594	2173	1479
595	2175	1474
596	2178	1470
597	2180	1466
598	2183	1461
599	2185	1456
600	2187	1452
601	2189	1447
602	2191	1443
603	2195	1439
604	2197	1434
605	2200	1430
606	2202	1426
607	2204	1421
608	2207	1417
609	2209	1412
610	2211	1408
611	2214	1403
612	2217	1399
613	2219	1395
614	2221	1390
615	2224	1386
616	2226	1382
617	2228	1377
618	2232	1374
619	2235	1369
620	2237	1365
621	2239	1360
622	2241	1356
623	2244	1352
624	2246	1347
625	2248	1343
626	2251	1339
627	2253	1334
628	2255	1330
629	2256	1325
630	2260	1322
631	2262	1317
632	2265	1313
633	2267	1308
634	2269	1304
635	2271	1300
636	2273	1295
637	2275	1291
638	2283	1290
639	2286	1285
640	2289	1282
641	2295	1280
642	2298	1276
643	2301	1272
644	2304	1268
645	2306	1264
646	2310	1260
647	2313	1256
648	2316	1252
649	2319	1248
650	2321	1244
651	2325	1241
652	2328	1237
653	2331	1233
654	2334	1229
655	2337	1225
656	2341	1222
657	2347	1220
658	2350	1216
659	2352	1211
660	2356	1208
661	2358	1204
662	2361	1200
663	2363	1196
664	2366	1192
665	2368	1188
666	2374	1185
667	2376	1181
668	2379	1177
669	2383	1173
670	2386	1169
671	2388	1166
672	2391	1162
673	2394	1158
674	2396	1154
675	2399	1149
676	2402	1146
677	2404	1142
678	2409	1139
679	2412	1135
680	2415	1131
681	2419	1128
682	2422	1124
683	2425	1120
684	2428	1116
685	2430	1112
686	2435	1109
687	2438	1106
688	2443	1102
689	2454	1102
690	2457	1098
691	2460	1094
692	2462	1091
693	2466	1087
694	2468	1083
695	2471	1079
696	2473	1075
697	2476	1071
698	2479	1067
699	2481	1063
700	2483	1059
701	2486	1055
702	2488	1051
703	2491	1047
704	2494	1043
705	2496	1039
706	2499	1035
707	2502	1032
708	2504	1028
709	2507	1024
710	2510	1020
711	2513	1016
712	2515	1012
713	2520	1009
714	2522	1005
715	2525	1001
716	2527	997
717	2530	994
718	2533	990
719	2535	985
720	2537	981
721	2540	978
722	2545	975
723	2548	971
724	2554	968
725	2557	965
726	2560	961
727	2562	957
728	2565	953
729	2569	950
730	2574	947
731	2577	943
732	2580	939
733	2582	936
734	2587	932
735	2589	928
736	2592	925
737	2595	921
738	2599	918
739	2605	915
740	2607	911
741	2609	907
742	2611	903
743	2613	899
744	2615	895
745	2618	891
746	2620	887
747	2623	883
748	2626	880
749	2628	876
750	2635	873
751	2637	869
752	2642	866
753	2645	863
754	2647	859
755	2654	856
756	2657	852
757	2661	849
758	2663	845
759	2666	842
760	2669	838
761	2671	834
762	2673	830
763	2675	826
764	2678	822
765	2681	819
766	2683	815
767	2686	811
768	2689	807
769	2691	803
770	2695	800
771	2698	796
772	2700	793
773	2702	789
774	2704	785
775	2707	781
776	2709	777
777	2712	773
778	2714	770
779	2717	766
780	2720	762
781	2722	759
782	2726	755
783	2728	751
784	2730	747
785	2732	744
786	2735	740
787	2738	736
788	2740	732
789	2742	729
790	2746	725
791	2748	721
792	2750	718
793	2755	714
794	2757	711
795	2760	707
796	2762	703
797	2764	699
798	2766	696
799	2769	692
800	2773	688
801	2775	685
802	2777	681
803	2779	677
804	2782	674
805	2785	670
806	2787	666
807	2790	663
808	2792	659
809	2795	655
810	2797	651
811	2800	648
812	2802	644
813	2805	641
814	2807	637
815	2811	633
816	2814	630
817	2817	626
818	2820	623
819	2822	619
820	2825	615
821	2828	612
822	2831	609
823	2833	605
824	2836	601
825	2838	597
826	2840	594
827	2842	590
828	2845	586
829	2847	583
830	2850	579
831	2852	575
832	2856	572
833	2858	569
834	2861	565
835	2865	562
836	2867	558
837	2870	554
838	2872	551
839	2875	547
840	2877	544
841	2879	540
842	2882	536
843	2884	533
844	2886	529
845	2889	525
846	2891	522
847	2893	518
848	2897	515
849	2899	511
850	2904	508
851	2906	504
852	2908	501
853	2912	497
854	2914	494
855	2916	490
856	2918	487
857	2921	483
858	2923	479
859	2925	476
860	2927	472
861	2929	469
862	2931	465
863	2933	461
864	2935	458
865	2937	454
866	2939	450
867	2942	447
868	2943	443
869	2946	440
870	2949	436
871	2952	433
872	2954	429
873	2957	426
874	2960	422
875	2962	419
876	2965	415
877	2967	412
878	2970	408
879	2973	405
880	2977	402
881	2979	398
882	2982	395
883	2985	391
884	2988	388
885	2991	384
886	2996	381
887	2999	378
888	3003	374
889	3006	371
890	3009	368
891	3012	364
892	3015	361
893	3019	358
894	3022	354
895	3024	351
896	3026	347
897	3029	344
898	3033	340
899	3036	337
900	3039	333
901	3041	330
902	3043	326
903	3045	323
904	3050	320
905	3052	316
906	3055	313
907	3057	309
908	3060	306
909	3062	302
910	3066	299
911	3068	296
912	3071	292
913	3073	289
914	3076	285
915	3078	282
916	3081	278
917	3084	275
918	3087	272
919	3090	268
920	3092	265
921	3095	261
922	3097	258
923	3099	254
924	3102	251
925	3104	248
926	3106	244
927	3108	241
928	3110	237
929	3112	234
930	3115	230
931	3117	227
932	3119	224
933	3121	220
934	3123	217
935	3126	213
936	3127	210
937	3129	206
938	3132	203
939	3134	200
940	3136	196
941	3138	193
942	3140	189
943	3142	186
944	3144	183
945	3146	179
946	3149	176
947	3151	172
948	3153	169
949	3155	166
950	3157	162
951	3161	159
952	3163	156
953	3165	152
954	3167	149
955	3170	145
956	3173	142
957	3175	139
958	3177	135
959	3179	132
960	3181	129
961	3183	125
962	3185	122
963	3188	119
964	3190	115
965	3191	112
966	3193	108
967	3196	105
968	3198	102
969	3200	98
970	3202	95
971	3205	92
972	3207	89
973	3209	85
974	3211	82
975	3213	79
976	3215	75
977	3217	72
978	3219	69
979	3221	65
980	3223	62
981	3225	59
982	3227	55
983	3229	52
984	3230	49
985	3233	45
986	3237	42
987	3241	39
988	3243	36
989	3244	32
990	3246	29
991	3248	26
992	3250	22
993	3254	19
994	3256	16
995	3257	13
996	3259	9
997	3262	6
998	3264	3
999	3266	0
3332	3
999	3334	0
89	4584	46
990	4587	41
991	4591	37
992	4613	32
993	4620	27
994	4623	23
995	4625	18
996	4628	13
997	4631	9
998	4633	4
999	4638	0
