iter	RMSE
293	4.142156286
294	4.136641625
295	4.130149685
296	4.12662919
297	4.118054683
298	4.107827898
299	4.101718161
300	4.092783408
301	4.086287816
302	4.083804146
303	4.076739954
304	4.073171644
305	4.070719945
306	4.063981587
307	4.058975446
308	4.053819965
309	4.050150204
310	4.047555519
311	4.044305027
312	4.040362812
313	4.037391488
314	4.031611963
315	4.027764115
316	4.025269101
317	4.019136136
318	4.01169871
319	4.009138504
320	4.004685103
321	3.999820917
322	3.994546861
323	3.99221679
324	3.989772408
325	3.987090081
326	3.982169519
327	3.975387283
328	3.973182279
329	3.96382226
330	3.959178818
331	3.9518718
332	3.947771995
333	3.943255247
334	3.940983843
335	3.937464883
336	3.930951175
337	3.924171752
338	3.921072399
339	3.912702231
340	3.910418481
341	3.907885176
342	3.906010498
343	3.903788454
344	3.898500209
345	3.892787954
346	3.889455813
347	3.883487926
348	3.877245524
349	3.872660649
350	3.87010835
351	3.865621863
352	3.862463191
353	3.85621447
354	3.851919029
355	3.845770939
356	3.840784167
357	3.837018214
358	3.834367935
359	3.830547476
360	3.826088594
361	3.822586828
362	3.818277222
363	3.81618719
364	3.810437378
365	3.807482518
366	3.804707268
367	3.800508929
368	3.796661111
369	3.787672453
370	3.781842143
371	3.776722208
372	3.774731692
373	3.767459328
374	3.76051385
375	3.756142924
376	3.751924428
377	3.749141222
378	3.746419623
379	3.744405477
380	3.735184109
381	3.732514414
382	3.726431056
383	3.720651387
384	3.715369334
385	3.710093029
386	3.708403694
387	3.702063001
388	3.7002148
389	3.695254784
390	3.693446782
391	3.689650556
392	3.687727822
393	3.686144487
394	3.679407474
395	3.674741541
396	3.671054783
397	3.665498269
398	3.65893377
399	3.65631706
400	3.650058298
401	3.646894502
402	3.644364388
403	3.642182602
404	3.640124879
405	3.635485724
406	3.631539002
407	3.629034239
408	3.620347057
409	3.615356224
410	3.613059589
411	3.611253641
412	3.608702572
413	3.606439477
414	3.60410192
415	3.597781257
416	3.592404851
417	3.587281064
418	3.58341232
419	3.581578558
420	3.578172847
421	3.570846874
422	3.568394435
423	3.566209238
424	3.561106408
425	3.555331267
426	3.550876871
427	3.545402283
428	3.541996682
429	3.537272132
430	3.532495641
431	3.528460598
432	3.525135984
433	3.521982015
434	3.517246869
435	3.51586331
436	3.51452376
437	3.510995617
438	3.505439998
439	3.501712239
440	3.499616953
441	3.494926381
442	3.493289018
443	3.491458276
444	3.486031018
445	3.48405085
446	3.480748871
447	3.478046578
448	3.474207845
449	3.472753055
450	3.466753274
451	3.461143915
452	3.454791761
453	3.45219529
454	3.4499347
455	3.447532355
456	3.444022475
457	3.440813182
458	3.439159869
459	3.434759256
460	3.429381878
461	3.427171117
462	3.426024972
463	3.421989391
464	3.418599943
465	3.415254014
466	3.409173436
467	3.405952206
468	3.400390942
469	3.397818688
470	3.393273334
471	3.391774137
472	3.387677711
473	3.384168985
474	3.379577333
475	3.377371966
476	3.374925481
477	3.372593693
478	3.369115086
479	3.364655052
480	3.363064041
481	3.359981064
482	3.356538152
483	3.354239263
484	3.351284964
485	3.347537737
486	3.344229501
487	3.342285767
488	3.34000002
489	3.335763161
490	3.331256583
491	3.327781887
492	3.325905654
493	3.322763036
494	3.316657687
495	3.315592762
496	3.314250438
497	3.311630603
498	3.306213886
499	3.303117011
500	3.299735044
501	3.296541456
502	3.29434809
503	3.29228119
504	3.290436036
505	3.285446133
506	3.282354335
507	3.280648583
508	3.275648031
509	3.272585443
510	3.270833096
511	3.268376294
512	3.267123278
513	3.264246073
514	3.259941758
515	3.2584055
516	3.25636376
517	3.253304089
518	3.251749713
519	3.24912047
520	3.247178285
521	3.245465394
522	3.23743069
523	3.232466922
524	3.223135402
525	3.220970721
526	3.215261638
527	3.213385827
528	3.211484629
529	3.206838996
530	3.204927121
531	3.203500158
532	3.201649797
533	3.196305647
534	3.191066122
535	3.189408213
536	3.183276586
537	3.179029345
538	3.177213681
539	3.173140497
540	3.171370178
541	3.168033626
542	3.166309822
543	3.161609568
544	3.159935028
545	3.158784915
546	3.156132501
547	3.152113647
548	3.146984723
549	3.141803242
550	3.138868757
551	3.137922888
552	3.135296109
553	3.133643262
554	3.131698226
555	3.129824053
556	3.128237075
557	3.123820428
558	3.119072412
559	3.117956108
560	3.116406952
561	3.114607602
562	3.11262211
563	3.111124083
564	3.108872254
565	3.106530624
566	3.104324059
567	3.102501761
568	3.099942384
569	3.097999957
570	3.094749581
571	3.093707055
572	3.092633006
573	3.091192007
574	3.088975664
575	3.085991198
576	3.084278622
577	3.081621593
578	3.078412365
579	3.077014149
580	3.074518394
581	3.071066068
582	3.069908025
583	3.065808282
584	3.064216405
585	3.061423561
586	3.057300927
587	3.053487178
588	3.05077044
589	3.049718197
590	3.048585872
591	3.046066951
592	3.044029765
593	3.042686734
594	3.039762748
595	3.037402468
596	3.03523486
597	3.031051324
598	3.029771649
599	3.027429686
600	3.026004335
601	3.022928713
602	3.021887766
603	3.017808659
604	3.016197362
605	3.013818986
606	3.012805345
607	3.011933755
608	3.009951877
609	3.00695126
610	3.005049953
611	3.003502609
612	2.997205463
613	2.98934742
614	2.987803791
615	2.986832158
616	2.984668025
617	2.981568468
618	2.977444021
619	2.974249681
620	2.973370996
621	2.968544286
622	2.967487135
623	2.961375443
624	2.957580369
625	2.956174546
626	2.954065827
627	2.946886187
628	2.939866717
629	2.934838576
630	2.931014734
631	2.928248836
632	2.924102169
633	2.919272542
634	2.914324785
635	2.912876016
636	2.910656683
637	2.907044695
638	2.905505615
639	2.902461431
640	2.898454951
641	2.897252289
642	2.893402085
643	2.886363379
644	2.882230707
645	2.879931822
646	2.8753173
647	2.87403059
648	2.87182153
649	2.870413862
650	2.868103415
651	2.865273726
652	2.861557086
653	2.859503244
654	2.858088901
655	2.85161231
656	2.850009419
657	2.846430407
658	2.844951322
659	2.843676169
660	2.842274308
661	2.836075874
662	2.833137149
663	2.831746854
664	2.830603206
665	2.827413206
666	2.825999596
667	2.822176447
668	2.818393992
669	2.816147951
670	2.814463724
671	2.808439291
672	2.805592738
673	2.802884975
674	2.801524411
675	2.799434849
676	2.79635864
677	2.793536258
678	2.79131176
679	2.788423022
680	2.787327037
681	2.785279584
682	2.783501518
683	2.781477944
684	2.775600072
685	2.774387996
686	2.770056787
687	2.767011051
688	2.763378768
689	2.762040622
690	2.760721183
691	2.757011832
692	2.754323256
693	2.752789829
694	2.749580009
695	2.747309828
696	2.743627828
697	2.740545216
698	2.737207129
699	2.734487818
700	2.730297223
701	2.729132469
702	2.727469545
703	2.725942437
704	2.723772768
705	2.722640895
706	2.720239579
707	2.717909767
708	2.714620639
709	2.713025209
710	2.709079487
711	2.707331358
712	2.705065
713	2.70285454
714	2.700900338
715	2.699373182
716	2.696814273
717	2.695399511
718	2.692680928
719	2.690325363
720	2.68674853
721	2.685559834
722	2.683231565
723	2.681236711
724	2.679686809
725	2.677738167
726	2.675557905
727	2.674183205
728	2.673051468
729	2.671962649
730	2.670570854
731	2.667180328
732	2.664927736
733	2.661913174
734	2.66024869
735	2.659518762
736	2.657659139
737	2.655131184
738	2.654128223
739	2.653082652
740	2.651716067
741	2.648875939
742	2.646209639
743	2.644934754
744	2.642768553
745	2.639229676
746	2.635768459
747	2.634588169
748	2.631646914
749	2.628449314
750	2.626759815
751	2.625571695
752	2.623674837
753	2.620371536
754	2.617937376
755	2.61578904
756	2.612077822
757	2.610040898
758	2.608559921
759	2.606405319
760	2.603873063
761	2.601684165
762	2.599205023
763	2.597622314
764	2.59600542
765	2.59441466
766	2.591316512
767	2.590215859
768	2.588248847
769	2.586255341
770	2.58444326
771	2.583205776
772	2.580663803
773	2.57887554
774	2.577933838
775	2.577074884
776	2.575037277
777	2.57315105
778	2.571789015
779	2.57086574
780	2.567682916
781	2.564564862
782	2.562821142
783	2.562103221
784	2.559721615
785	2.554922085
786	2.553894652
787	2.549297429
788	2.546137957
789	2.544949802
790	2.54390291
791	2.541992588
792	2.540841644
793	2.538745456
794	2.533475755
795	2.531557677
796	2.529705185
797	2.526393052
798	2.52471372
799	2.523092169
800	2.520968815
801	2.519368634
802	2.516925867
803	2.51501411
804	2.512665835
805	2.511328643
806	2.509975952
807	2.509399897
808	2.506996151
809	2.505885612
810	2.504340833
811	2.502200058
812	2.500292269
813	2.497308859
814	2.495128719
815	2.493405733
816	2.491983703
817	2.490933693
818	2.488136445
819	2.485839402
820	2.484565746
821	2.482705708
822	2.481622816
823	2.48088101
824	2.47828082
825	2.476109744
826	2.474458616
827	2.471778174
828	2.470434385
829	2.46972683
830	2.468034218
831	2.464776452
832	2.463865506
833	2.462408352
834	2.460539105
835	2.4575128
836	2.454885009
837	2.454337109
838	2.453512089
839	2.451449672
840	2.448855192
841	2.44635635
842	2.443581996
843	2.441171153
844	2.438367701
845	2.435889043
846	2.431382272
847	2.428994345
848	2.426354113
849	2.424042061
850	2.421484513
851	2.420315441
852	2.418597362
853	2.41823701
854	2.417404401
855	2.416569036
856	2.415581753
857	2.414796208
858	2.413954558
859	2.412981091
860	2.411881675
861	2.409445674
862	2.408041326
863	2.407156964
864	2.404909587
865	2.403123535
866	2.401164787
867	2.399902482
868	2.399234732
869	2.396810036
870	2.395844402
871	2.394942385
872	2.393767922
873	2.393127212
874	2.392263082
875	2.391154403
876	2.390191693
877	2.388643393
878	2.387179063
879	2.382912331
880	2.380297011
881	2.378168476
882	2.376666052
883	2.375243822
884	2.373566864
885	2.372572062
886	2.371546616
887	2.370461062
888	2.369529738
889	2.367953257
890	2.367446091
891	2.366131711
892	2.365097753
893	2.363480624
894	2.361769895
895	2.360355705
896	2.358332835
897	2.357003427
898	2.355819798
899	2.354799651
900	2.350870998
901	2.349352379
902	2.347147103
903	2.344966555
904	2.344663218
905	2.343157805
906	2.342151109
907	2.340575962
908	2.338378707
909	2.337231001
910	2.336132749
911	2.33399415
912	2.331908769
913	2.331443798
914	2.330290895
915	2.328348159
916	2.328062907
917	2.326753275
918	2.325068944
919	2.323888078
920	2.323068448
921	2.321743926
922	2.320233755
923	2.31982868
924	2.318943296
925	2.31752042
926	2.315020964
927	2.313579225
928	2.311412257
929	2.308381438
930	2.306359727
931	2.306012364
932	2.304641984
933	2.303512735
934	2.302206313
935	2.300605127
936	2.30019503
937	2.298281322
938	2.297527026
939	2.296752389
940	2.294344473
941	2.29301365
942	2.292083593
943	2.289903391
944	2.287795177
945	2.286410569
946	2.283230796
947	2.28297705
948	2.280881898
949	2.279621319
950	2.277856152
951	2.276515632
952	2.275707054
953	2.271567621
954	2.270341661
955	2.268445103
956	2.267727636
957	2.265725461
958	2.264100898
959	2.263398971
960	2.262335523
961	2.261186613
962	2.259159974
963	2.257244255
964	2.255470605
965	2.254727717
966	2.252181901
967	2.251489669
968	2.250359679
969	2.24818503
970	2.247132178
971	2.245083131
972	2.243925379
973	2.242880141
974	2.240635726
975	2.239516977
976	2.237748987
977	2.236695274
978	2.235790176
979	2.234408389
980	2.232261364
981	2.229488104
982	2.228462268
983	2.227339674
984	2.225403819
985	2.221741381
986	2.220763122
987	2.218872883
988	2.217295111
989	2.216889464
990	2.21640535
991	2.215485542
992	2.214326635
993	2.213494477
994	2.212411695
995	2.211452225
996	2.209768321
997	2.207608623
998	2.206121093
999	2.204482585
